node,event,sequence,frame_id,queue_size,queue_max_size,queue_wait_ms,reason,status,timing_valid,timing_source,received_count,processed_count,failed_count,dropped_count,hydra_published_count,frame_fifo_size,frame_fifo_max_size,total_delay_ms,coordinator_delay_ms,classifier_delay_ms,sent_to_classifier_delay_ms,callback_enqueue_delay_ms,frame_queue_wait_ms,classifier_debug_record_delay_ms,image_conversion_delay_ms,sam_prepare_ms,sam_inference_ms,sam_restore_ms,sam_other_ms,sam_delay_ms,geometry_metadata_ms,frame_assignment_ms,track_association_ms,crop_update_ms,run_rap_other_ms,active_segments_publish_ms,semantic_dispatch_ms,quality_deferred_release_ms,rap_delay_ms,label_map_delay_ms,metadata_delay_ms,result_message_build_delay_ms,classifier_other_ms,hydra_build_delay_ms,hydra_depth_filter_ms,hydra_metadata_build_ms,hydra_build_other_ms,hydra_publish_delay_ms,unknown_publish_delay_ms,coordinator_other_ms,pipeline_wait_ms,num_masks,num_known,num_unknown,num_unknown_tracks,num_vlm_queued,unknown_track_id,candidate_id,track_seen_count,best_frame_score,predicted_label,label_confidence,mobility_class,mobility_confidence,vlm_delay_ms,total_age_ms,backend,model
rsg_object_detection,dropped_oldest,34,rsg_20260806_15_954879999_000034,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,35,2,0,31,2,0,1,38.95462500076974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,35,rsg_20260806_16_004879999_000035,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,35,rsg_20260806_16_004879999_000035,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,36,2,0,32,2,0,1,50.0947860055021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,36,rsg_20260806_16_054880000_000036,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,36,rsg_20260806_16_054880000_000036,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,37,2,0,33,2,0,1,50.598258996615186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,37,rsg_20260806_16_104880000_000037,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,37,rsg_20260806_16_104880000_000037,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,38,2,0,34,2,0,1,49.978108996583614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,38,rsg_20260806_16_154879999_000038,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,38,rsg_20260806_16_154879999_000038,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,39,2,0,35,2,0,1,70.00484900345327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,39,rsg_20260806_16_204879999_000039,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,39,rsg_20260806_16_204879999_000039,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,40,2,0,36,2,0,1,43.71997300040675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,40,rsg_20260806_16_254880000_000040,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,40,rsg_20260806_16_254880000_000040,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,41,2,0,37,2,0,1,33.69133899832377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,frame_trace,33,rsg_20260806_15_904880000_000033,,,,ok,sent_to_hydra,,,,,,,,,,420.9705980028957,8.066037997195963,400.9530429975712,11.580687001696788,0.13846799993189052,11.442219001764897,0.0032320022000931203,0.8998390039778315,0.15318900113925338,217.74444499897072,30.23614700214239,0.007010996341705322,248.14079199859407,40.091848008160014,26.06262799963588,3.1865749915596098,71.72743698902195,0.42465301521588117,1.192426003399305,0.03164900408592075,0.0038080033846199512,142.73702399805188,2.4348680017283186,0.11043599806725979,6.598436004424002,0.03164799272781238,4.123790000448935,3.6266530005377717,0.08240200259024277,0.41473499732092023,3.3166590001201257,0.6209809944266453,0.004608002200257033,0.3675980042316951,8,0,8,0,0,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,42,rsg_20260806_16_354880000_000042,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
